A Paris, quelle sculpture de Georges Dieboldt associe t on au pont de l Alma ?|LE ZOUAVE
Sur quelle ile Mediterraneenne se trouve la ville de Taormina ou se deroula en mai 2017 le sommet du G7 ?|SICILE
A quel peintre, ne Pietro Vanucci, et maitre de Raphael, doit on l annonciation de Fano ?|LE PERUGIN
Quel appareil laisse derriere lui des cirrus homogenitus plus connus sous le nom de trainees de condensation  ?|UN AVION
En 2017, quel cineaste recoit le Cesar du meilleur realisateur pour son adaptation de la piece de Jean Luc Lagarce, Juste la fin du monde ?|XAVIER DOLAN
Le 14 juillet 1789 au soir, quel mot Louis XVI ecrivit-il dans son journal intime ?|RIEN
Le 1er juillet 2017, de quelle ville d Allemagne partira la 104eme edition du tour de France ?|DUSSELDORF
Comment s appelle ce plat Suisse compose d une galette de pommes de terre que l on a fait revenir dans du beurre ou du saindoux ?|ROSTI
Au 19eme siecle, quel chimiste donna son nom a un alliage de zinc, nickel et argent, utilise dans la fabrication de couverts ?|HENRI DE RUOLZ
Quels fruits avez-vous envie de manger si vous achetez, au marche, des Mara des bois ?|DES FRAISES
Comment est l amour, d apres l autre nom de cette solanacee egalement appelee groseille du Cap et physalis ?|EN CAGE
En medecine, sous quel nom est plus connue la malformation appelee fente labio-palatine ?|BEC-DE-LIEVRE
A quel accessoire, generalement en plastique ou en metal, associe-t-on un virage qui revient dans la direction opposee ?|EPINGLE A CHEVEUX
Quelle epreuve de course a pieds, dont le record du monde a ete atteint en 2010* se court sur une distance de 21,097 km ?|SEMI-MARATHON
Quel intendant des finances, et administrateur des Ponts-et-Chaussees, realisa au 18eme siecle un des plus grands atlas des routes de France ?|DANIEL-CHARLES TRUDAINE
Dans quel opera de Verdi peut on entendre le morceau Va, pensiero interprete par un choeur d esclaves ?|NABUCCO
Quel acronyme de 5 lettres, pouvant, phonetiquement, evoquer une etoffe de soie, designe un accord de libre-echange entre l Europe et les Etats-Unis ?|TAFTA
Chez les Egyptiens, quelle deesse du ciel representee arquee au-dessus de la terre, est la mere d Isis et d Osiris ?|NOUT
SLAM: Quelle autre voyelle que le Y ne passe pas aux  - Quatre a la suite - ?|LE O
Selon le titre d une piece de Carlo Goldoni, dans quelle ville de Venetie y a-t-il du barouf ?|CHIOGGIA
Quel affluent de la Meurthe designe aussi, en venerie, la tete d un sanglier ?|HURE
De quel type de sites internet proposant une liste de liens obtenue apres saisie de mots-cles, Google est-il l exemple le plus connu ?|MOTEUR DE RECHERCHE
Quel fleuve se jetant dans la baie de New-York, doit son nom a un navigateur anglais ne en 1565 ?|HUDSON
En Auvergne, quel mot designant la montee des troupeaux lors de la transhumance, est le contraire de devalade ?|MONTADE
A quel fruit associe-t-on l embout des arrosoirs et des douches ?|LA POMME
Quelle sainte fetee le 22 juillet est notamment la patronne des prostituees ?|MARIE-MADELEINE
Quelle vitamine, dont la carence peut provoquer une osteomalacie, appelle-t-on egalement calciferol ?|VITAMINE D
Sur un cliche d Arthur Sasse datant de 1951, quel celebre scientifique tire la langue ?|ALBERT EINSTEIN
Lors de l election presidentielle en 2017, quel homme politique a ete elu president de la Republique Islamique d Iran pour la 2nde fois ?|ROHANI (HASSAN)
En economie, quel terme designant l augmentation du pouvoir actionnarial, est le contraire de dilution ?|RELUTION
A quel animal domestique est associe le physicien Erwin Schrodinger ?|UN CHAT
Quel acteur americain decede en 2014 incarna le chef des bandits, Calvera, dans Les 7 mercenaires, de John Sturges ?|WALLACH (ELI)
En 2017, a Helsinki, dans quelle discipline le japonais Yuzuru Hanyu recoit-il pour la  seconde fois une medaille d or lors des championnats du monde ?|PATINAGE ARTISTIQUE
Quel mollusque bivalve de forme allongee ayant pour nom scientifique solen, designe-ton usuellement par un nom de couvert ?|COUTEAU
Sur quel tableau de David, expose a Bruxelles, peut-on lire l inscription \Il suffit que je  sois bien malheureuse pour avoir droit a votre bienveillance \ ?|LA MORT DE MARAT ou MARAT ASSASSINE
Quel est le plus long mot de la langue francaise s ecrivant uniquement avec des chiffres romains ?|CIVIL
